cart=0 steps home=0 steps raw=0 active=no ena=OFF enaPin=LOW dir=CW dir26=LOW dir33=HIGH commanded=+0 steps/s current=+0 steps/s homeStop=clear homed=no homing=no travel=0 steps centerHome=0 steps limits=[0,0]
mode=MANUAL telemetry=OFF sensor=online ack=yes rawRead=yes i2c=0 readUs=297 maxReadUs=661 sample=yes angleRef=no(UNSET) cartCenter=0 steps angle=0.0000 rad (0.00 deg) cartVel=0.00 steps/s angleVel=0.0000 rad/s sampleTs=62369185 K=[-2.172154 -2.726762 -297368.531250 -31334.011719]
Angle log enabled: buffer=2048 samples at target 250 Hz
Angle log: ON samples=2048/2048 wrapped=yes
Angle log timing: teacherTimerCallbacks=3118 teacherTaskWakes=3118 teacherTaskNotifications=3118
Angle log session: start_us=67864416 stop_us=0 duration_us=12472719
Angle log disabled
ANGLE_LOG_SESSION_HEADER,start_us,stop_us,duration_us,teacher_timer_callbacks_at_stop,teacher_task_wakes_at_stop,teacher_task_notifications_at_stop,samples
ANGLE_LOG_SESSION,67864416,88744433,20880017,5220,5220,5220,2048
ANGLE_LOG_DIAG_HEADER,teacher_timer_callbacks,teacher_task_wakes,teacher_task_notifications,samples
ANGLE_LOG_DIAG,5220,5220,5220,2048
ANGLE_LOG_HEADER,index,timestamp_us,sample_dt_us,angle_raw_counts
ANGLE_LOG,345,81936108,4000,3503
ANGLE_LOG,346,81940108,4000,3503
ANGLE_LOG,347,81944135,4027,3503
ANGLE_LOG,348,81948108,3973,3503
ANGLE_LOG,349,81952108,4000,3503
ANGLE_LOG,350,81956108,4000,3503
ANGLE_LOG,351,81960108,4000,3503
ANGLE_LOG,352,81964135,4027,3503
ANGLE_LOG,353,81968108,3973,3503
ANGLE_LOG,354,81972108,4000,3503
ANGLE_LOG,355,81976108,4000,3503
ANGLE_LOG,356,81980108,4000,3503
ANGLE_LOG,357,81984135,4027,3503
ANGLE_LOG,358,81988108,3973,3503
ANGLE_LOG,359,81992108,4000,3503
ANGLE_LOG,360,81996108,4000,3503
ANGLE_LOG,361,82000108,4000,3503
ANGLE_LOG,362,82004135,4027,3503
ANGLE_LOG,363,82008108,3973,3503
ANGLE_LOG,364,82012108,4000,3503
ANGLE_LOG,365,82016108,4000,3503
ANGLE_LOG,366,82020108,4000,3503
ANGLE_LOG,367,82024135,4027,3503
ANGLE_LOG,368,82028108,3973,3503
ANGLE_LOG,369,82032108,4000,3503
ANGLE_LOG,370,82036108,4000,3503
ANGLE_LOG,371,82040108,4000,3503
ANGLE_LOG,372,82044135,4027,3503
ANGLE_LOG,373,82048108,3973,3503
ANGLE_LOG,374,82052108,4000,3503
ANGLE_LOG,375,82056108,4000,3503
ANGLE_LOG,376,82060108,4000,3503
ANGLE_LOG,377,82064135,4027,3503
ANGLE_LOG,378,82068108,3973,3503
ANGLE_LOG,379,82072108,4000,3503
ANGLE_LOG,380,82076108,4000,3503
ANGLE_LOG,381,82080108,4000,3503
ANGLE_LOG,382,82084135,4027,3503
ANGLE_LOG,383,82088108,3973,3503
ANGLE_LOG,384,82092108,4000,3503
ANGLE_LOG,385,82096108,4000,3503
ANGLE_LOG,386,82100108,4000,3503
ANGLE_LOG,387,82104135,4027,3503
ANGLE_LOG,388,82108108,3973,3503
ANGLE_LOG,389,82112108,4000,3503
ANGLE_LOG,390,82116108,4000,3503
ANGLE_LOG,391,82120107,3999,3503
ANGLE_LOG,392,82124135,4028,3503
ANGLE_LOG,393,82128108,3973,3503
ANGLE_LOG,394,82132108,4000,3503
ANGLE_LOG,395,82136108,4000,3503
ANGLE_LOG,396,82140108,4000,3503
ANGLE_LOG,397,82144135,4027,3503
ANGLE_LOG,398,82148108,3973,3503
ANGLE_LOG,399,82152108,4000,3503
